tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,nama_unit,kode_barang,part_number,nama_barang,qty,satuan,biaya,group_desc,class_desc,subclass_desc
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 260 JD 312-023,340307-040304-0010,SN352-10613,CONNECTOR L,2.0,PCS,449920.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 260 JD 312-023,340307-050304-0017,47307-E0540,CONNECTOR SUB-ASSY,1.0,PCS,125000.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-027,340307-040304-0007,21483-E0800,CONNECTOR,1.0,PCS,187220.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-027,340307-040304-0008,S3480-12740,CONNECTOR SUB-ASSY,1.0,PCS,351500.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,BRAKE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-028,340307-040304-0009,47307-E0720,CONNECTOR SUB-ASSY TUBE,1.0,PCS,535760.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-030,340307-050307-0129,SH552-10832,BOLT,2.0,PCS,259000.0,Truck /Bus,Truck /Bus,Hino
2026-04-10,Apr,4,TANJUNG,MINING,RUTIN,ENGINE SYSTEM,DUMP TRUCK HINO FM 280 JD 312-031,350201-000200-0024,,ENGINE OIL 15W-40,20.0,LTR,636000.2,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,TANJUNG,MINING,RUTIN,ATTACHMENT SYSTEM,EXCAVATOR KOMATSU PC-200-8M1 332-032,350202-000200-0001,3207-1602,GREASE,14.0,Kg,468482.0,Pelumas,Pelumas,Grease
2026-04-10,Apr,4,TANJUNG,MINING,NON RUTIN,ATTACHMENT SYSTEM,EXCAVATOR HITACHI ZX350H-5G 332-033,350202-000200-0001,3207-1602,GREASE,14.0,Kg,468482.0,Pelumas,Pelumas,Grease
2026-04-10,Apr,4,TANJUNG,MINING,RUTIN,HYDRAULIC SYSTEM,BULLDOZER WEA B 220 342-012,350201-000200-0071,,HYDRAULIC OIL MEDITRAN SAE 10W,35.0,LTR,922425.0,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,BUHUT,MINING,RUTIN,ENGINE SYSTEM,EXCAVATOR HITACHI ZX 210 F-5G 332-038,350201-000200-0024,,ENGINE OIL 15W-40,10.0,LTR,317999.8,Pelumas,Pelumas,Oli
2026-04-10,Apr,4,BUHUT,MINING,RUTIN,HYDRAULIC SYSTEM,EXCAVATOR HITACHI ZX 210 F-5G 332-038,350201-000200-0071,,HYDRAULIC OIL MEDITRAN SAE 10W,20.0,LTR,527100.0,Pelumas,Pelumas,Oli
