id_unit,kode_unit,nama_unit,nilai_asset,lokasi,bulan,bulan_no,kategori,prestasi_realisasi,prestasi_budget,pendapatan_realisasi,pendapatan_budget,upah_realisasi,upah_budget,qty_bbm_realisasi,qty_bbm_budget,harga_bbm_realisasi,harga_bbm_budget,biaya_bbm_realisasi,biaya_bbm_budget,maintenance_realisasi,maintenance_budget,penyusutan_realisasi,penyusutan_budget,lainnya_realisasi,lainnya_budget,biaya_langsung_realisasi,biaya_langsung_budget,biaya_tidak_langsung_realisasi,biaya_tidak_langsung_budget,total_biaya_realisasi,total_biaya_budget
251004,251-004,DUMP TRUCK HINO 130 HD DA 9165 AZ/DA 8953 CD 251-004,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251005,251-005,DUMP TRUCK HINO 130 HD DA 8027 CF/ B 9853 BDG 251-005,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251006,251-006,DUMP TRUCK HINO 130 HD DA 9706 AZ/DA 8570 CH 251-006,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251007,251-007,DUMP TRUCK HINO 130 HD DA 9341 AO/DA 8902 CJ 251-007,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251008,251-008,DUMP TRUCK HINO 130 HD DA 9342 AO/DA 8903 CJ 251-008,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251009,251-009,DUMP TRUCK HINO 130 HD DA 9862 AO/DA 8981 CL 251-009,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251010,251-010,DUMP TRUCK HINO 130 HD DA 9863 AO/DA 8980 CL 251-010,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251011,251-011,DUMP TRUCK HINO 130 HD DA 9294 AQ 251-011,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251012,251-012,DUMP TRUCK HINO 130 HD DA 9295 AQ 251-012,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251013,251-013,DUMP TRUCK HINO 130 HD DA 9124 C 251-013,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251014,251-014,DUMP TRUCK HINO 130 HD DA 9125 C 251-014,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251015,251-015,DUMP TRUCK HINO 130 HD DA 9285 C 251-015,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251016,251-016,DUMP TRUCK HINO 130 HD DA 9396 CC 251-016,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251017,251-017,DUMP TRUCK HINO 130 HD DA 9397 CC 251-017,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251018,251-018,DUMP TRUCK HINO 130 HD DA 9679 CF/DA 8708 CC 251-018,0,SUNGAI DANAU,May,5,TR,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
