lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-05,641106233203832 155,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   WELDING TRACK PIN,7.5
BUHUT,Aug,2026-08-06,641106236200232 065,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,"362-002   CEK TERMINAL AKI,JUMPER AKI,CE",3.5
BUHUT,Aug,2026-08-06,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-045   PASANG PIN ARM,WELDING BUSHING",3.0
BUHUT,Aug,2026-08-07,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   LAS LOCK PIN H,2.5
BUHUT,Aug,2026-08-07,641106233203832 155,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   LAS TRACK,2.0
BUHUT,Aug,2026-08-07,641106237101431 075,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,371-014   TAMBAH OLI 40,1.0
BUHUT,Aug,2026-08-07,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,2.0
BUHUT,Aug,2026-08-07,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052   GREASING,2.5
BUHUT,Aug,2026-08-07,641106236200232 035,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,"362-002   GANTI BLADE,PASANG BOLT BLADE,",6.0
BUHUT,Aug,2026-08-07,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   PERBAIKAN PIN TAHU,1.0
BUHUT,Aug,2026-08-07,641106236200232 035,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,"362-002   WELDING TAMBAH DAGING,WELDING",10.0
BUHUT,Aug,2026-08-07,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   GANTI HOSE BREAKER,1.0
BUHUT,Aug,2026-08-08,641106233205532 075,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,332-055   SERVICE BERKALA,1.0
BUHUT,Aug,2026-08-08,641106236200231 035,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,362-002   TAMBAH OLI TRANMISI,0.5
BUHUT,Aug,2026-08-08,641106236200232 065,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,"362-002   PERBAIKAN KABEL ALTERNATOR,PER",2.5
BUHUT,Aug,2026-08-08,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,1.0
BUHUT,Aug,2026-08-08,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,1.0
BUHUT,Aug,2026-08-08,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052  GREASING,1.0
BUHUT,Aug,2026-08-08,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,1.0
BUHUT,Aug,2026-08-08,641106231203632 165,312-036,312036,DUMP TRUCK HINO FM 280 JD 312-036,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,312-036   CEK BATU DI TYRE,0.5
BUHUT,Aug,2026-08-08,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   CEK PRESURE OLI,2.0
BUHUT,Aug,2026-08-09,641206230000031 053,,,,,,WS-PERBAIKAN DAN MAINTENANCE UNIT,WS   HOSE KEEPING WS AREA,17.0
BUHUT,Aug,2026-08-09,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,2.0
BUHUT,Aug,2026-08-09,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,2.0
BUHUT,Aug,2026-08-09,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,"332-052   GREASING,KENCANGKAN CLAMP PIPA",2.0
BUHUT,Aug,2026-08-09,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,2.0
BUHUT,Aug,2026-08-10,641106236200232 065,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,"362-002   JUMPER AKI,GANTI AKI,TAMBAH AI",1.5
BUHUT,Aug,2026-08-10,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,"332-038   TAMBAH OLI 40,GREASING",1.0
BUHUT,Aug,2026-08-10,641106233204532 015,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-045   GANTI BELT AC,GREASING",1.0
BUHUT,Aug,2026-08-10,641106237101431 035,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,371-014   TAMBAH OLI 40,1.0
BUHUT,Aug,2026-08-10,641106233205232 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-052   PERBAIKAN SAFETY CABIN,GREASIN",1.0
BUHUT,Aug,2026-08-10,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,"332-055   PERBAIKAN SAFETY CABIN,PASANG",1.0
BUHUT,Aug,2026-08-10,641106233205932 035,332-059,332059,EXCAVATOR KOMATSU PC210 332-059,Excavator Bucket,AB,WS-PERBAIKAN UNIT,332-059   WELDING KUKU,2.0
