tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,BULLDOZER WEA B 220 342-012,900901.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,EXCAVATOR KOBELCO SK200-10 332-025,36036.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,UNDERCARRIAGE SYSTEM,SPAREPART,EXCAVATOR KOBELCO SK200-10 332-025,6054055.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX 210 F-5G 332-041,720721.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,GRADER CATERPILLAR 120 K 351-010,382883.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,COMPACTOR DYNAPAC CA30D 371-016,2090090.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,FRAME BODY & GUARD SYSTEM,SPAREPART,BULLDOZER WEA B 220 342-012,81084.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,GRADER CATERPILAR 120 K 351-004,3990991.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX33U-5A 331-002,369369.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
2026-01-07,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,HYDRAULIC SYSTEM,SPAREPART,BULLDOZER WEA B 220 342-013,207207.0,"By. Tagihan Supplier CV. Mitra Gunawan Partindo, CV. Bilven Pratama,"
