id_unit,lokasi,bulan,nama_unit,kode_unit,kelompok_unit,Jenis_Sarmut,kategori,jenis_unit,unit_sewa,availability_pct,availability_target,utilisasi_pct,utilisasi_target,downtime_pct,downtime_target,source_file,efektif_hm_km_realisasi,standby_hm_km_realisasi,breakdown_hm_km_realisasi,tersedia_hm_km_realisasi,hm_km_ideal_target
332050,BUHUT,May,EXCAVATOR SHANTUI SE 215 W 332-050,332-050,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,0.0,85.0,0.0,95.0,100.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,0.0,100.0,0.0,100.0
332051,BUHUT,Apr,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,5.5,85.0,70.91,95.0,94.5,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",7.800000000000182,3.199999999999818,189.0,11.0,200.0
332051,BUHUT,Feb,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,82.5,85.0,100.0,95.0,17.5,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",165.0,0.0,35.0,165.0,200.0
332051,BUHUT,Jan,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,42.58,85.0,91.96,95.0,57.42,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",78.30000000000018,6.849999999999824,114.85,85.15,200.0
332051,BUHUT,Jun,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,32.5,85.0,19.54,95.0,67.5,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",12.699999999999818,52.30000000000018,135.0,65.0,200.0
332051,BUHUT,Mar,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,79.7,85.0,100.0,95.0,20.3,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",159.39999999999964,3.623767952376511e-13,40.6,159.4,200.0
332051,BUHUT,May,EXCAVATOR SHANTUI SE 215 W 332-051,332-051,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,100.0,85.0,0.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",0.0,200.0,0.0,200.0,200.0
332059,BUHUT,Jun,EXCAVATOR KOMATSU PC210 332-059,332-059,EXCAVATOR MEDIUM,Sarmut Kelompok Alat Berat,AB,Excavator Bucket,False,100.0,85.0,5.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",18.6,331.1,0.3,349.7,350.0
351014,BUHUT,Apr,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,97.33,85.0,61.99,95.0,2.67,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",90.5,55.5,4.0,146.0,150.0
351014,BUHUT,Feb,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,99.03,85.0,33.73,95.0,0.97,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",50.100000000000136,98.44999999999986,1.45,148.55,150.0
351014,BUHUT,Jan,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,99.33,85.0,18.32,95.0,0.67,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",27.299999999999955,121.70000000000005,1.0,149.0,150.0
351014,BUHUT,Jun,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,100.0,85.0,18.13,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",27.200000000000045,122.79999999999995,0.0,150.0,150.0
351014,BUHUT,Mar,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,99.53,85.0,34.16,95.0,0.47,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",51.0,98.3,0.7,149.3,150.0
351014,BUHUT,May,GRADER XCMG GR-135 351-014,351-014,GRADER,Sarmut Kelompok Alat Berat,AB,Grader,False,100.0,85.0,35.2,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",52.8,97.2,0.0,150.0,150.0
362002,BUHUT,Apr,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,98.0,85.0,75.31,95.0,2.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",110.70000000000071,36.29999999999927,3.0,147.0,150.0
362002,BUHUT,Feb,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,100.0,85.0,100.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",150.0,0.0,0.0,150.0,150.0
362002,BUHUT,Jan,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,100.0,85.0,157.2,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",235.8000000000011,0.0,0.0,150.0,150.0
362002,BUHUT,Jun,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,97.7,85.0,64.41,95.0,2.3,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",94.39999999999964,52.15000000000036,3.45,146.55,150.0
362002,BUHUT,Mar,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,100.0,85.0,100.0,95.0,0.0,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",150.0,0.0,0.0,150.0,150.0
362002,BUHUT,May,WHEEL LOADER XCMG ZL50GN 362-002,362-002,WHEEL LOADER,Sarmut Kelompok Alat Berat,AB,Wheel Loader,False,99.33,85.0,43.76,95.0,0.67,15.0,"SASARAN_MUTU_AB_2026_BUHUT,xlsx",65.2,83.8,1.0,149.0,150.0
361006,SUNGAI DANAU,Apr,BACKHOE LOADER CAT 416 F 361-006,361-006,BACKHOE LOADER,Sarmut Kelompok Alat Berat,AB,Backhoe Loader,False,79.59,93.0,102.56,95.0,20.41,7.0,"SASARAN_MUTU_ALAT_BERAT_2026_SATUI,xlsx",40.0,2.0,10.0,39.0,49.0
361006,SUNGAI DANAU,May,BACKHOE LOADER CAT 416 F 361-006,361-006,BACKHOE LOADER,Sarmut Kelompok Alat Berat,AB,Backhoe Loader,False,70.19,93.0,128.32,95.0,29.81,7.0,"SASARAN_MUTU_ALAT_BERAT_2026_SATUI,xlsx",145.0,0.0,48.0,113.0,161.0
361007,SUNGAI DANAU,Apr,BACKHOE LOADER CAT 416 F 361-007,361-007,BACKHOE LOADER,Sarmut Kelompok Alat Berat,AB,Backhoe Loader,False,53.14,93.0,115.05,95.0,46.86,7.0,"SASARAN_MUTU_ALAT_BERAT_2026_SATUI,xlsx",107.0,11.0,82.0,93.0,175.0
